,0
99,https://apps.usgs.gov/hivis/camera/WI_MT2_FIELD
100,https://apps.usgs.gov/hivis/camera/NC_Walnut_Creek_at_South_State_Street_at_Raleigh
101,https://apps.usgs.gov/hivis/camera/PA_Oil_Creek_at_Rouseville
102,https://apps.usgs.gov/hivis/camera/WI_AO3_FIELD
103,https://apps.usgs.gov/hivis/camera/OR_McKenzie_River_near_Vida
104,https://apps.usgs.gov/hivis/camera/WI_MT1_FIELD
105,https://apps.usgs.gov/hivis/camera/OH_East_Fork_Little_Miami_River_at_Perintown
106,https://apps.usgs.gov/hivis/camera/GA_Savannah_River_at_USACE_Dock_at_Savannah
107,https://apps.usgs.gov/hivis/camera/TX_Lake_Conroe_near_Conroe
108,https://apps.usgs.gov/hivis/camera/MA_Marconi_Beach_near_Wellfleet_CAMERA_2
109,https://apps.usgs.gov/hivis/camera/WI_GLRI_Bioreactor_outlet_near_Duvall_DITCH
110,https://apps.usgs.gov/hivis/camera/WI_Dorn_Creek_at_HWY_Q_near_Waunakee
111,https://apps.usgs.gov/hivis/camera/OH_West_Branch_St_Joseph_River_near_Nettle_Lake
112,https://apps.usgs.gov/hivis/camera/NY_Storm_Sewer_50_ft_East_of_Niagara_St_115_ft_South_of_Scajawquada_Creek
113,https://apps.usgs.gov/hivis/camera/MN_Mississippi_River_below_Lock_and_Dam_2_at_Hastings
114,https://apps.usgs.gov/hivis/camera/MI_Tile_Drain_to_Mill_Creek_near_Waldron_FLUME_OVERVIEW
115,https://apps.usgs.gov/hivis/camera/MI_East_Branch_St_Joseph_River_at_Territorial_Road_near_Waldron
116,https://apps.usgs.gov/hivis/camera/IN_Drain_Tile_West_of_Bull_Rapids_Road_near_Harlan_TILE
117,https://apps.usgs.gov/hivis/camera/WI_Duck_Creek_near_Howard_UPSTREAM
118,https://apps.usgs.gov/hivis/camera/WI_Pheasant_Branch_at_Airport_Road_near_Middleton
119,https://apps.usgs.gov/hivis/camera/WI_KD2_FLUME_OVERVIEW
120,https://apps.usgs.gov/hivis/camera/GA_Chattahoochee_River_at_14th_Street_at_Columbus
121,https://apps.usgs.gov/hivis/camera/IN_Blue_Creek_near_Pleasant_Mills
122,https://apps.usgs.gov/hivis/camera/WI_Silver_Creek_at_Spaulding_Road_near_Green_Lake
123,https://apps.usgs.gov/hivis/camera/WI_APPLE_RIVER_ABOVE_05341499_AT_PARK_IN_SOMERSET
124,https://apps.usgs.gov/hivis/camera/WI_AO2_FIELD
125,https://apps.usgs.gov/hivis/camera/FL_Pithlachascotee_River_near_Fivay_Junction
126,https://apps.usgs.gov/hivis/camera/WI_GLRI_East_River_Waterway_SW3_FLUME
127,https://apps.usgs.gov/hivis/camera/MI_Clam_Lake_Outlet_to_Torch_Lake_near_Alden
