,USGS Site Number:,State:,CameraName:,Camera Description:,Latitude:,Longitude:,Timelapse Length:,Collection Interval:,Collection Window:
https://apps.usgs.gov/hivis/camera/OH_East_Fork_Little_Miami_River_at_Perintown,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Savannah_River_at_USACE_Dock_at_Savannah,,,,,,,,,
https://apps.usgs.gov/hivis/camera/TX_Lake_Conroe_near_Conroe,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MA_Marconi_Beach_near_Wellfleet_CAMERA_2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Bioreactor_outlet_near_Duvall_DITCH,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Dorn_Creek_at_HWY_Q_near_Waunakee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_West_Branch_St_Joseph_River_near_Nettle_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Storm_Sewer_50_ft_East_of_Niagara_St_115_ft_South_of_Scajawquada_Creek,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Mississippi_River_below_Lock_and_Dam_2_at_Hastings,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Tile_Drain_to_Mill_Creek_near_Waldron_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_East_Branch_St_Joseph_River_at_Territorial_Road_near_Waldron,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Drain_Tile_West_of_Bull_Rapids_Road_near_Harlan_TILE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Duck_Creek_near_Howard_UPSTREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Pheasant_Branch_at_Airport_Road_near_Middleton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_KD2_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Chattahoochee_River_at_14th_Street_at_Columbus,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Blue_Creek_near_Pleasant_Mills,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Silver_Creek_at_Spaulding_Road_near_Green_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_APPLE_RIVER_ABOVE_05341499_AT_PARK_IN_SOMERSET,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO2_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/FL_Pithlachascotee_River_near_Fivay_Junction,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_East_River_Waterway_SW3_FLUME,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Clam_Lake_Outlet_to_Torch_Lake_near_Alden,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Kettle_River_below_Sandstone,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Spring_Harbor_Storm_Sewer_DOWNSTREAM_at_Madison,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_East_Branch_Brandywine_Creek_below_Downingtown,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Tile_Drain_to_Mill_Creek_near_Waldron_STREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Elm_Creek_near_Champlin,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Eau_Claire_River_at_Kelly,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Big_Roche_A_Cri_Creek_at_HWY_G_near_Leola,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_French_Broad_River_near_Bent_Creek,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_RS1_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AZ_National_Data_Conference_2023_Cell_Trail_Camera,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Detroit_River_at_Fort_Wayne_at_Detroit,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Black_Creek_near_Harlan,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Inflow_to_wetland_near_Winn_Road_near_Defiance_WET2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MO_Missouri_River_at_Hermann,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Kickapoo_River_at_HWY_131_at_Ontario,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OR_North_Umpqua_River_near_Idleyld_Park,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Ashwaubenon_Creek_at_Grant_Street_near_West_De_Pere,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Wetland_Outflow_near_Winn_Rd_near_Defiance_OUTLET_FLUME,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_4_near_Wrightstown_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WA_Okanogan_River_at_Zosel_Millpond_at_Oroville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_Perkiomen_Creek_at_Graterford,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_at_North_Bend,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Yukon_River_at_Eagle,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Pecatonica_River_at_Darlington,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Madison_Camera_01,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_above_Loup_Power_Canal_near_Columbus,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Little_Kaukauna_Lock_above_upper_gate_pool,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Sonde_Monitoring_Grand_Rapids,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Menomonee_River_at_Wauwatosa,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Rock_River_at_Afton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_McMullen_Creek_at_Lincrest_Place_at_Charlotte,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Yahara_River_at_McFarland_STAFF_PLATE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_West_of_Bull_Rapids_Road_near_Harlan_FLUME,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Black_River_at_I_95_near_Manning_DOWNSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_De_Pere_Dam_above_REW_Spillway,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Sweetwater_Creek_at_Austell,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Spring_Harbor_Storm_Sewer_UPSTREAM_at_Madison,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Randy_Poynter_Lake_at_Spillway_near_Milstead,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Minnesota_River_at_Morton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Root_River_at_Grange_Avenue_at_Greendale,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_West_of_Bull_Rapids_Road_near_Harlan_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Milwaukee_River_at_mouth_at_Milwaukee_UPSTREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT3_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_East_Branch_Brandywine_Creek_below_Downingtown_RS485_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_French_Creek_near_Ettrick,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_RS2_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT1_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_DANGEROUS_R_AT_HARLEQUIN_LK_OUTLET_NR_YAKUTAT_AK,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Phelan_Creek_near_Paxson,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Green_Lake_Inlet_at_HWY_A_near_Green_Lake_FISHEYE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_5_near_Wrightstown_FLUME,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO3_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Inflow_to_wetland_near_Winn_Road_near_Defiance_FLUME,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Coldwater_Fen_met_station_Branch_County,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Tile_Drain_to_Mill_Creek_near_Waldron_FLUME_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Rapid_Croche_Lock_above_upper_gate_pool,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_CLEARWATER_RIVER_AT_RED_LAKE_FALLS_MN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IL_Farmdale_Reservoir_at_Farmdale,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Namekagon_River_at_Leonards,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Twelvemile_Creek_near_Petersburg,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Spring_Harbor_Storm_Sewer_STAFF_at_Madison,,,,,,,,,
https://apps.usgs.gov/hivis/camera/ID_Camera_Training_Class_BOISE_ID,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Tody_Ravine_at_HWY_112_near_Marengo,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Chippewa_River_below_Dells_Dam_at_Eau_Claire,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Saluda_River_above_I26_Flyover_near_West_Columbia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_4_near_Wrightstown_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Kickapoo_River_at_La_Farge,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IL_Vermilion_River_near_Danville,,,,,,,,,
