,USGS Site Number:,State:,CameraName:,Camera Description:,Latitude:,Longitude:,Timelapse Length:,Collection Interval:,Collection Window:
https://apps.usgs.gov/hivis/camera/01422747_NY_East_Brook_Walton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01388500_NJ_PomptonR_Pompton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01368050_NY_Wallkill_Unionville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01377451_NJ_Pascack_Brook_Hillsdale,,,,,,,,,
https://apps.usgs.gov/hivis/camera/393259107194801_CO_Colorado_Glenwood,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01362232_NY_Broadstreet_Hollow_Brook_Allaben,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13297380_ID_Salmon_River_Clayton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06477000_SD_JamesR_Forestburg,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05531175_IL_Salt_Cr_WoodDale,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04165710_MI_DetriotR_FortWayne,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08073100_TX_LanghamCr_AddicksRes_Outflow,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0205551460_VA_Lick_Run_Roanoke,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01585075_MD_Foster_Br_Joppatowne,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06354980_ND_SpringCK_Haley,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06354890_ND_NorthFork_GrandR_Bowman,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05335478_Burnett_Clam_Dam,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01327750_NY_Hudson_River_at_Fort_Edward,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01634000_VA_Shenandoah_Strasburg,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01387095_NY_RamapoR_Harriman,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0402659457_FEH_2_Troutmere_WildcatRd,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01413408_NY_Dry_Brook_Arkville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02336910_GA_Sweetwater_Cr_Austell,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04183105_04183105_Maumee_Woodburn_IN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/000000_TX_SanAntonioR_EastNueva,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01574500_PA_Codorus_Ck_Spring_Grove,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05576195_IL_Sugar_Creek_Chatham,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01389534_NJ_PeckmanR_Verona,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04026635_FEH_16_TroutBrook_KomsteadRd,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01379500_NJ_PassaicR_Chatham,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05335450_Burnett_Malone_RD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01638500_MD_PotomacR_Point_of_Rocks,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13302500_ID_Salmon_River_Salmon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01381500_NJ_Whippany_River_Morristown,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02019500_VA_JamesRiver_Buchanan,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01362357_NY_Warner_Ck_Chichester,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02336300_GA_PeachtreeCr_Atlanta,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06447450_SD_WhiteR_WhiteR,,,,,,,,,
https://apps.usgs.gov/hivis/camera/12211195_WA_NooksackR_Overflow,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01462000_NJ_Delaware_Lambertville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01407770_NJ_Shark_River_Belmar,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13340000_ID_Clearwater_River_Orofino,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01357500_NY_Mohawk_River_at_Cohoes,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02352500_GA_FlintR_Albany,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05124000_ND_SourisR_Westhope,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05116500_ND_Des_LacsR_Foxholm,,,,,,,,,
https://apps.usgs.gov/hivis/camera/040265975_FEH_5_Marengo_Trib_HwyC,,,,,,,,,
https://apps.usgs.gov/hivis/camera/777777_HABS_Little_Kaukauna_Lock,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02335700_GA_BigCreek_Alpharetta,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08072600_TX_Buffalo_Bayou_nr_Addicks,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05553700_IL_IllinoisR_StarvedRock,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01465500_PA_Neshaminy_Langhorne,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08073000_TX_Addicks_Res_Outflow_Culverts,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01387998_NJ_Ramapo_Pompton_Dam,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01579905_MD_DeerCK_Pylesville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/777777_HABS_Appleton_Lower_Lock,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01302020_NY_Bronx_River_NY_Botanical_Garden,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13075500_ID_Portneuf_River_Pocatello,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01362487_NY_Beaver_Kill_Mount_Tremper,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01434000_NY_DelawareR_PortJervis_PTZ,,,,,,,,,
https://apps.usgs.gov/hivis/camera/021989773_GA_SavannahR_USACE_Savannah,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08072500_TX_Barker_Res_nr_Addicks_OUTFLOW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01382500_NJ_Pequannock_River_Macopin,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05114000_ND_05114000_SourisR_Sherwood,,,,,,,,,
https://apps.usgs.gov/hivis/camera/420931086224403_MI_Butterfly_Sarett,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01350140_NY_Mine_Kill_North_Blenheim,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0158175720_MD_Lake_Serene_Edgewood,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05333500_ST_Croix_Danbury,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13305310_ID_Lemhi_River_below_L5_Salmon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0164579522_VA_The_Glade_nr_Howland_Dr,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01419500_NY_WillowemocCR_Livingston,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04026757_FEH_15_Silver_HwyC,,,,,,,,,
https://apps.usgs.gov/hivis/camera/463227090365601_Denomie_Creek,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0164578734_VA_Snakeden_Br_above_Lake_Audubon_Reston,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04183000_IN_Maumee_New_Haven_DOWN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0167300055_VA_Mechumps_Ck_Ashland,,,,,,,,,
https://apps.usgs.gov/hivis/camera/09071750_CO_Colorado_R_above_Glenwood_Springs,,,,,,,,,
https://apps.usgs.gov/hivis/camera/777777_HABS_DePere_Dam,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02303348_FL_TroutCk_Wesley_Chapel,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01161280_MA_Conn_Northfield,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01312000_NY_Hudson_River_at_Newcomb,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06447230_SD_BlackPipe_Belvidere,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01654500_VA_LongBranch_Annandale_STREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05331000_MN_MissR_St_Paul,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01426500_NY_DelawareR_HaleEddy,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13070200_ID_Toponce_Canal_Chesterfield,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01374941_NY_Muscoot_River_below_Dam_Amawalk,,,,,,,,,
https://apps.usgs.gov/hivis/camera/7777777_HABS_Kaukauna_Canal,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05576100_IL_Lick_Creek_Woodside,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01362297_NY_Panther_Kill_Phoenicia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06431500_SD_SpearfishCr_Spearfish,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04166500_MI_Rouge_Detroit,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01380450_NJ_RockawayR_Boonton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08092500_TX_Whitney_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/12211190_WA_NooksackR_Overflow_EmersonRd,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08063700_TX_Bardwell_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/12395500_ID_Pend_Oreille_R_Newport,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01420500_NY_Beaver_Kill_at_Cooks_Falls,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02050000_VA_Blackwater_River_HWY58_258_Franklin,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01435000_NY_Neversink_Claryville_THERMAL,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05113750_ND_EastBranch_ShortCR_Columbus,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01349150_NY_Canajoharie_Creek_Canajoharie,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13206000_ID_Boise_River_Glenwood_Bridge_Boise,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01463500_01463500_Delaware_Trenton_NJ,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01410560_NJ_Inside_Thorofare_Atlantic_City,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01354500_NY_Mohawk_River_Freeman_Bridge_Schenectady,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01391000_NJ_Hohokus_Brook_HoHoKus,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08040000_TX_Steinhagen_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01436000_NY_Neversink_River_Neversink,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01396060_NJ_Arthur_Kill_Perth_Amboy,,,,,,,,,
https://apps.usgs.gov/hivis/camera/09095500_CO_Colorado_R_Cameo,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05335329_Burnett_Soderberg_RD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01413500_NY_East_Branch_Delaware_Margaretville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06342500_MissouriRiverBismarck,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04026619_FEH_8_Brunsweiler_HwyC,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01400500_NJ_Raritan_River_Manville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06423500_SD_CheyenneR_Wasta,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04165500_MI_ClintonR_Mt_Clemens,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01362230_NY_Diversion_Schoharie_Reservoir,,,,,,,,,
https://apps.usgs.gov/hivis/camera/12413131_ID_SF_Coeur_D_Alene_R_Abv_Placer_CR_Wallace,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08073000_TX_Addicks_Res_nr_Addicks,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01411350_NJ_Ludlum_Thorofare_Sea_Isle_City,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01305500_NY_SwanR_East_Patchogue2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/040267603_FEH_11_Silver_DelafieldRd,,,,,,,,,
https://apps.usgs.gov/hivis/camera/02341460_GA_ChattahoocheeR_14thSt_Columbus,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01388100_NJ_Ramapo_Dawes_Highway_Pompton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05414000_PlatteR_Rockville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06337200_ND_Cherry_Creek_Shaefer,,,,,,,,,
https://apps.usgs.gov/hivis/camera/4623320904820_FEH_9_Marengo_Trib_PeltoRd,,,,,,,,,
https://apps.usgs.gov/hivis/camera/023177483_GA_WithlacoocheeR_SkipperBridge,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01437500_NY_Neversink_Goddefroy,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01407600_NJ_ShrewsburgR_SeaBright,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01350035_NY_Bear_Kill_Prattsville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01388000_NJ_Ramapo_Pompton_Dam_Spillway,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01505810_NY_ChenangoR_Oxford,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01374531_NY_EB_CrotonR_Croton_Falls,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04071000_WI_Gillett,,,,,,,,,
https://apps.usgs.gov/hivis/camera/04183000_IN_Maumee_New_Haven,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01505000_NY_ChenangoR_Sherburne,,,,,,,,,
https://apps.usgs.gov/hivis/camera/777777_HABS_DePere_Lock,,,,,,,,,
